date,last,open,high,low,%change,volume,is_trading_day,sentiment_score,impact_score,has_news,medium_term_score,prominence,topic_regulatory_news,topic_ai_sector,topic_corporate_changes,topic_financial_performance,topic_investor_sentiment,topic_competition,topic_market_conditions,timeliness,confidence,topic_technology,short_term_score,relevance_score,direct_impact,target_mentioned,sentiment_label,day_of_week,day_of_month,month,year
2020-07-20,-2.021559772197394,-2.0830240646019984,-2.0666568172228943,-2.0444127925494078,1.114209620990702,0.2071041014636493,1,0.5121951219512196,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.5454545454545454,0.0
2020-07-21,-2.0648987974904407,-1.9952289912963461,-2.042781003699206,-2.02267461597674,-0.8180163484567655,0.5310988541367044,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.5454545454545454,0.0
2020-07-22,-2.0562947262925566,-2.074404184677444,-2.083529058779634,-2.027150122918172,0.10103669145234512,0.17502060007366935,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.5454545454545454,0.0
2020-07-23,-2.1974652277985847,-2.0645072855048063,-2.1118616908277437,-2.17388281478368,-2.5730754668374165,2.8000343501629383,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.7333333333333333,0.5454545454545454,0.0
2020-07-24,-2.204794621781968,-2.25637942752916,-2.242701148937555,-2.2656307070830284,-0.19239590562706976,2.519060656171902,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7666666666666667,0.5454545454545454,0.0
2020-07-27,-2.1346873749843915,-2.169542118659569,-2.1809423779562818,-2.126889991898648,1.2636941515783287,0.9579066453549226,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.5454545454545454,0.0
2020-07-28,-2.1843997863499456,-2.148471301066212,-2.1924027684476517,-2.134242610445286,-0.9675008790443921,0.5306127404792805,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9,0.5454545454545454,0.0
2020-07-29,-2.1273579810010084,-2.168265099411487,-2.1707553641861743,-2.1195373733520104,1.0090168031697797,0.20734715829236128,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9333333333333333,0.5454545454545454,0.0
2020-07-30,-2.090711011084094,-2.154217887682582,-2.1366925368923795,-2.1176192989485396,0.6159278523652806,1.8552724569595134,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.9666666666666667,0.5454545454545454,0.0
2020-07-31,-1.7698110223333703,-1.8767854560367205,-1.8145282264127476,-1.8919258774734877,5.742693605111285,7.109431923226154,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.5454545454545454,0.0
2020-08-03,-1.6844076489617779,-1.706941896041785,-1.6483525642878782,-1.6662324559984356,1.3412046489200606,5.501611001296477,1,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.6363636363636364,0.0
2020-08-04,-1.6611447897971274,-1.6772511985238738,-1.6754118196147247,-1.6502485026361797,0.3169587911900278,2.2115937678512605,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.6363636363636364,0.0
2020-08-05,-1.648716686955739,-1.66926982822336,-1.6881455868273585,-1.6339448702066786,0.14532840421904922,0.9768650779944562,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.13333333333333333,0.6363636363636364,0.0
2020-08-06,-1.526347674363606,-1.6363865825852428,-1.5601712263403902,-1.6051737541546185,1.8782416662163486,2.9320142081535376,1,0.9390243902439026,0.8913043478260871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.16666666666666669,0.6363636363636364,0.0
2020-08-07,-1.6152564100750777,-1.547314490031508,-1.5837286956837624,-1.5895094798596074,-1.4104180067114334,2.825555317177695,1,0.7560975609756099,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6363636363636364,0.0
2020-08-10,-1.5636319828877716,-1.5664697787527413,-1.5802269097002881,-1.598780172809716,0.754339454761231,3.174341866379371,1,0.451219512195122,0.45652173913043487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6363636363636364,0.0
2020-08-11,-1.6703861996022626,-1.5865828319100361,-1.6216116531413476,-1.6272316097945314,-1.6983141396950105,2.5788526360350463,1,0.451219512195122,0.5652173913043479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.6363636363636364,0.0
2020-08-12,-1.5547092423862618,-1.6335132892770576,-1.5961441187160803,-1.5891898007923626,1.7841217765871018,2.0450998401835614,1,0.451219512195122,0.45652173913043487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3666666666666667,0.6363636363636364,0.0
2020-08-13,-1.4909753816611926,-1.5080461481529794,-1.5082811249489079,-1.4731462993823852,0.9259698417322095,3.117952682118194,1,0.451219512195122,0.7826086956521741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4,0.6363636363636364,0.0
