2025-05-31 21:32:49,638 - INFO - Bắt đầu huấn luyện mô hình cho AAPL
2025-05-31 21:32:49,638 - INFO - Sequence length (seq_len): 2
2025-05-31 21:32:49,652 - INFO - Số fold trong Cross-Validation: 5
2025-05-31 21:32:49,729 - INFO - Đã tải mô hình từ c:\Users\milaa\Desktop\Dev\Python\this\models\model_AAPL.pt
2025-05-31 21:32:51,164 - INFO - Fold 1/5
2025-05-31 21:32:51,604 - INFO - Window 0-30, Train Loss: 0.4037
2025-05-31 21:32:52,026 - INFO - Window 1-31, Train Loss: 0.2387
2025-05-31 21:32:52,605 - INFO - Window 2-32, Train Loss: 0.1504
2025-05-31 21:32:53,052 - INFO - Window 3-33, Train Loss: 0.0889
2025-05-31 21:32:53,620 - INFO - Window 4-34, Train Loss: 0.0608
2025-05-31 21:32:54,181 - INFO - Window 5-35, Train Loss: 0.0623
2025-05-31 21:32:54,590 - INFO - Window 6-36, Train Loss: 0.0563
2025-05-31 21:32:54,950 - INFO - Window 7-37, Train Loss: 0.0538
2025-05-31 21:32:55,380 - INFO - Window 8-38, Train Loss: 0.0538
2025-05-31 21:32:55,640 - INFO - Window 9-39, Train Loss: 0.0430
2025-05-31 21:32:55,889 - INFO - Window 10-40, Train Loss: 0.0368
2025-05-31 21:32:56,432 - INFO - Window 11-41, Train Loss: 0.0320
2025-05-31 21:32:56,585 - INFO - Window 12-42, Train Loss: 0.0285
2025-05-31 21:32:56,764 - INFO - Window 13-43, Train Loss: 0.0388
2025-05-31 21:32:57,147 - INFO - Window 14-44, Train Loss: 0.0407
2025-05-31 21:32:57,479 - INFO - Window 15-45, Train Loss: 0.0348
2025-05-31 21:32:57,822 - INFO - Window 16-46, Train Loss: 0.0328
2025-05-31 21:32:58,355 - INFO - Window 17-47, Train Loss: 0.0332
2025-05-31 21:32:58,590 - INFO - Window 18-48, Train Loss: 0.0275
2025-05-31 21:32:58,720 - INFO - Window 19-49, Train Loss: 0.0353
2025-05-31 21:32:58,873 - INFO - Window 20-50, Train Loss: 0.0343
2025-05-31 21:32:59,084 - INFO - Window 21-51, Train Loss: 0.0263
2025-05-31 21:32:59,328 - INFO - Window 22-52, Train Loss: 0.0220
2025-05-31 21:32:59,587 - INFO - Window 23-53, Train Loss: 0.0225
2025-05-31 21:32:59,728 - INFO - Window 24-54, Train Loss: 0.0237
2025-05-31 21:32:59,873 - INFO - Window 25-55, Train Loss: 0.0329
2025-05-31 21:33:00,146 - INFO - Window 26-56, Train Loss: 0.0376
2025-05-31 21:33:00,630 - INFO - Window 27-57, Train Loss: 0.0173
2025-05-31 21:33:00,832 - INFO - Window 28-58, Train Loss: 0.0160
2025-05-31 21:33:01,016 - INFO - Window 29-59, Train Loss: 0.0220
2025-05-31 21:33:01,235 - INFO - Window 30-60, Train Loss: 0.0180
2025-05-31 21:33:01,357 - INFO - Window 31-61, Train Loss: 0.0204
2025-05-31 21:33:01,848 - INFO - Window 32-62, Train Loss: 0.0139
2025-05-31 21:33:02,060 - INFO - Window 33-63, Train Loss: 0.0151
2025-05-31 21:33:02,427 - INFO - Window 34-64, Train Loss: 0.0123
2025-05-31 21:33:02,701 - INFO - Window 35-65, Train Loss: 0.0241
2025-05-31 21:33:03,000 - INFO - Window 36-66, Train Loss: 0.0150
2025-05-31 21:33:03,127 - INFO - Window 37-67, Train Loss: 0.0242
2025-05-31 21:33:03,457 - INFO - Window 38-68, Train Loss: 0.0144
2025-05-31 21:33:03,607 - INFO - Window 39-69, Train Loss: 0.0163
2025-05-31 21:33:04,033 - INFO - Window 40-70, Train Loss: 0.0152
2025-05-31 21:33:04,157 - INFO - Window 41-71, Train Loss: 0.0068
2025-05-31 21:33:04,348 - INFO - Window 42-72, Train Loss: 0.0136
2025-05-31 21:33:04,822 - INFO - Window 43-73, Train Loss: 0.0094
2025-05-31 21:33:05,048 - INFO - Window 44-74, Train Loss: 0.0131
2025-05-31 21:33:05,205 - INFO - Window 45-75, Train Loss: 0.0087
2025-05-31 21:33:05,572 - INFO - Window 46-76, Train Loss: 0.0149
2025-05-31 21:33:05,972 - INFO - Window 47-77, Train Loss: 0.0114
2025-05-31 21:33:06,130 - INFO - Window 48-78, Train Loss: 0.0132
2025-05-31 21:33:06,488 - INFO - Window 49-79, Train Loss: 0.0107
2025-05-31 21:33:06,909 - INFO - Window 50-80, Train Loss: 0.0105
2025-05-31 21:33:07,358 - INFO - Window 51-81, Train Loss: 0.0100
2025-05-31 21:33:07,716 - INFO - Window 52-82, Train Loss: 0.0153
2025-05-31 21:33:08,019 - INFO - Window 53-83, Train Loss: 0.0103
2025-05-31 21:33:08,459 - INFO - Window 54-84, Train Loss: 0.0127
2025-05-31 21:33:08,992 - INFO - Window 55-85, Train Loss: 0.0119
2025-05-31 21:33:09,354 - INFO - Window 56-86, Train Loss: 0.0129
2025-05-31 21:33:09,911 - INFO - Window 57-87, Train Loss: 0.0101
2025-05-31 21:33:10,304 - INFO - Window 58-88, Train Loss: 0.0107
2025-05-31 21:33:10,618 - INFO - Window 59-89, Train Loss: 0.0111
2025-05-31 21:33:10,798 - INFO - Window 60-90, Train Loss: 0.0083
2025-05-31 21:33:11,059 - INFO - Window 61-91, Train Loss: 0.0079
2025-05-31 21:33:11,317 - INFO - Window 62-92, Train Loss: 0.0109
2025-05-31 21:33:11,719 - INFO - Window 63-93, Train Loss: 0.0105
2025-05-31 21:33:11,957 - INFO - Window 64-94, Train Loss: 0.0086
2025-05-31 21:33:12,244 - INFO - Window 65-95, Train Loss: 0.0133
2025-05-31 21:33:12,616 - INFO - Window 66-96, Train Loss: 0.0106
2025-05-31 21:33:12,921 - INFO - Window 67-97, Train Loss: 0.0133
2025-05-31 21:33:13,332 - INFO - Window 68-98, Train Loss: 0.0155
2025-05-31 21:33:13,831 - INFO - Window 69-99, Train Loss: 0.0107
2025-05-31 21:33:14,128 - INFO - Window 70-100, Train Loss: 0.0113
2025-05-31 21:33:14,665 - INFO - Window 71-101, Train Loss: 0.0096
2025-05-31 21:33:14,983 - INFO - Window 72-102, Train Loss: 0.0078
2025-05-31 21:33:15,428 - INFO - Window 73-103, Train Loss: 0.0075
2025-05-31 21:33:15,730 - INFO - Window 74-104, Train Loss: 0.0072
2025-05-31 21:33:16,101 - INFO - Window 75-105, Train Loss: 0.0086
2025-05-31 21:33:16,561 - INFO - Window 76-106, Train Loss: 0.0101
2025-05-31 21:33:17,003 - INFO - Window 77-107, Train Loss: 0.0133
2025-05-31 21:33:17,544 - INFO - Window 78-108, Train Loss: 0.0112
2025-05-31 21:33:17,724 - INFO - Window 79-109, Train Loss: 0.0088
2025-05-31 21:33:18,267 - INFO - Window 80-110, Train Loss: 0.0136
2025-05-31 21:33:18,459 - INFO - Window 81-111, Train Loss: 0.0194
2025-05-31 21:33:18,638 - INFO - Window 82-112, Train Loss: 0.0157
2025-05-31 21:33:18,852 - INFO - Window 83-113, Train Loss: 0.0207
2025-05-31 21:33:19,048 - INFO - Window 84-114, Train Loss: 0.0290
2025-05-31 21:33:19,224 - INFO - Window 85-115, Train Loss: 0.0237
2025-05-31 21:33:19,395 - INFO - Window 86-116, Train Loss: 0.0235
2025-05-31 21:33:19,574 - INFO - Window 87-117, Train Loss: 0.0204
2025-05-31 21:33:19,774 - INFO - Window 88-118, Train Loss: 0.0149
2025-05-31 21:33:20,077 - INFO - Window 89-119, Train Loss: 0.0150
